activ,av_val_loss,drop_out,max_neurons,learn_rate,momentum,time_taken,av_epochs,cv_1_val_loss,cv_2_val_loss,cv_3_val_loss,cv_4_val_loss
LeReLU,0.188951317,0.1,512,0.1,0,3019.046875,76.25,0.274261296,0.207736015,0.113767937,0.160040021
LeReLU,0.198709853,0,512,0.1,0.9,3144.15625,83.75,0.27354455,0.19683294,0.190906778,0.133555144
LeReLU,0.200325463,0,512,0.1,0,3510.125,93.75,0.243073091,0.189680904,0.218730554,0.149817303
Relu,0.202540778,0,256,0.1,0,1350.21875,67.5,0.214562401,0.249921083,0.207318649,0.138360977
Relu,0.215058755,0.1,512,0.001,0,2145.21875,65,0.261348754,0.211609647,0.192072168,0.195204452
Relu,0.21818033,0,512,0.001,0,1963.578125,61.25,0.384020418,0.25210163,0.133148625,0.103450648
LeReLU,0.219836339,0,512,0.001,0.99,2961.234375,77.5,0.347352803,0.214591488,0.150963813,0.166437253
LeReLU,0.226397283,0,256,0.01,0.9,1539.4375,71.25,0.26108849,0.228804931,0.206093222,0.20960249
LeReLU,0.231870467,0,512,0.01,0.9,2866.25,76.25,0.309164882,0.269636989,0.244723752,0.103956245
Relu,0.235624198,0,256,0.01,0.9,1568.703125,76.25,0.266648501,0.255205005,0.265075833,0.155567452
Relu,0.235680778,0,256,0.1,0.9,1440.078125,70,0.305980474,0.224411398,0.205288932,0.207042307
Relu,0.236615919,0.1,256,0.01,0.9,1808.09375,85,0.268578649,0.181839332,0.25238502,0.243660673
Relu,0.236722235,0,512,0.01,0,2145.265625,67.5,0.376452893,0.207695201,0.173504964,0.189235881
LeReLU,0.237341579,0,256,0.1,0,1683.875,78.75,0.27164498,0.221177444,0.219929919,0.236613974
LeReLU,0.241141632,0.1,512,0.01,0.99,2537.578125,63.75,0.290835738,0.283172548,0.193076134,0.197482109
LeReLU,0.247281574,0.1,512,0.1,0.9,3120.3125,81.25,0.27758649,0.291239232,0.201463744,0.218836829
LeReLU,0.253221337,0.1,512,0.1,0,2865.59375,70,0.375623882,0.215695664,0.291003078,0.130562723
Relu,0.254911009,0.1,512,0.01,0,2204.890625,67.5,0.33406508,0.289952427,0.265217602,0.130408928
Softmax,0.255323783,0.1,512,0.1,0.9,3455.96875,95,0.291862935,0.280050188,0.266842127,0.18253988
Relu,0.256109208,0,512,0.0001,0,2150.234375,67.5,0.33788988,0.218740165,0.214985609,0.252821177
LeReLU,0.263469733,0,256,0.001,0.99,1831.609375,81.25,0.34989658,0.239112377,0.215523735,0.249346241
LeReLU,0.265720934,0,512,0.001,0.9,2668.359375,71.25,0.29281795,0.2789509,0.295347422,0.195767462
LeReLU,0.266920809,0,256,0.1,0,1379.859375,63.75,0.338459969,0.344158471,0.234789863,0.150274932
LeReLU,0.2671661,0,512,0.01,0.001,3214.421875,77.5,0.273258179,0.314584166,0.233560279,0.247261778
LeReLU,0.270415336,0,512,0.01,0.99,2265.90625,58.75,0.357396752,0.270879388,0.227990001,0.225395203
Relu,0.27196563,0.1,256,0.001,0.99,1747.546875,82.5,0.340367913,0.210957527,0.260708451,0.27582863
LeReLU,0.27232036,0,512,0.01,0,2985.921875,81.25,0.367845148,0.225689322,0.240099519,0.255647451
Relu,0.276516613,0,256,0.0001,0.99,1806.34375,87.5,0.292677194,0.346770406,0.232111156,0.234507695
LeReLU,0.276688956,0,256,0.01,0.001,1637.765625,77.5,0.281859159,0.34231177,0.239330858,0.243254036
LeReLU,0.27880675,0,256,0.1,0.9,1837.6875,85,0.354196817,0.279989928,0.254315406,0.226724848
Relu,0.280304,0.1,512,0.0001,0,2700.984375,82.5,0.397418231,0.357332319,0.145216092,0.221249357
LeReLU,0.281812087,0.1,512,0.001,0.99,2416.3125,62.5,0.299680173,0.294541925,0.307194173,0.225832075
LeReLU,0.282177042,0,512,0.1,0.001,2901.375,78.75,0.275057644,0.279643506,0.234452292,0.339554727
Relu,0.282677453,0.1,256,0.01,0.99,1292.640625,61.25,0.337013215,0.205279812,0.257557124,0.330859661
LeReLU,0.284632046,0.1,256,0.1,0.9,1583.34375,71.25,0.383001238,0.290577322,0.276637137,0.188312486
LeReLU,0.284845602,0.1,256,0.1,0,1393.734375,62.5,0.353403479,0.314940125,0.281004637,0.190034166
Relu,0.285339184,0,128,0.1,0.9,1060.578125,81.25,0.341740429,0.348847508,0.239927709,0.210841089
LeReLU,0.28642587,0,256,0.01,0.99,1561.84375,70,0.377739519,0.289735943,0.178938821,0.299289197
Relu,0.288719349,0,128,0.1,0,798.859375,63.75,0.33437264,0.275163382,0.256145179,0.289196193
Relu,0.290644858,0,256,0.001,0.9,1745.03125,85,0.436714768,0.278102487,0.253328294,0.194433883
LeReLU,0.292103183,0,256,0.01,0,1619.390625,72.5,0.42355147,0.30214411,0.201718315,0.240998834
LeReLU,0.292272098,0.1,256,0.01,0.9,1500.390625,67.5,0.36021179,0.277888417,0.322564572,0.208423615
Relu,0.294590257,0,128,0.0001,0.999,864.609375,66.25,0.355157107,0.270379871,0.289623886,0.263200164
LeReLU,0.296584565,0,128,0.1,0,886.328125,65,0.422799468,0.330691606,0.205326304,0.227520883
Relu,0.297797121,0,128,0.01,0.9,895.1875,68.75,0.265349448,0.303528845,0.322562277,0.299747914
LeReLU,0.299668051,0.1,512,0.1,0,2476.796875,65,0.398317695,0.256715328,0.287886024,0.25575316
Relu,0.300251871,0.1,256,0.1,0,1490.234375,72.5,0.374279976,0.3646909,0.223105803,0.238930807
Relu,0.301641438,0,256,0.0001,0.999,1542.203125,75,0.325695932,0.348771304,0.292609423,0.239489093
LeReLU,0.30228439,0.1,512,0.01,0.9,2503.84375,65,0.377511114,0.294666409,0.253244668,0.283715367
Relu,0.302611306,0,64,0.01,0.9,657.890625,70,0.359838933,0.280864179,0.296292424,0.273449689
Relu,0.303058997,0,256,0.01,0,1521.53125,76.25,0.352912217,0.316832125,0.298089862,0.244401783
LeReLU,0.305225283,0.1,512,0.1,0.001,3637.671875,95,0.313578874,0.265564412,0.315521657,0.326236188
Relu,0.305536278,0.2,256,0.1,0.9,1423.78125,67.5,0.301007926,0.300153524,0.315949798,0.305033863
LeReLU,0.308992818,0,512,0.01,0,2969.140625,80,0.45529443,0.301077366,0.247027263,0.232572213
LeReLU,0.310910352,0,256,0.1,0.001,1290.15625,61.25,0.34093526,0.27974388,0.290128976,0.33283329
Relu,0.311383076,0,128,0.001,0.99,831.921875,63.75,0.393402278,0.276115805,0.28127405,0.29474017
LeReLU,0.312687613,0.1,256,0.1,0,1317.625,58.75,0.400912195,0.315196544,0.252414972,0.282226741
Relu,0.313567035,0,256,0.001,0.99,1362.25,66.25,0.421684772,0.266433835,0.259327084,0.306822449
Relu,0.313763849,0.2,256,0.1,0,1544.671875,75,0.427302927,0.251550585,0.315618128,0.260583758
LeReLU,0.316306897,0,256,0.01,0,1778.09375,85,0.443418235,0.330086112,0.270308435,0.221414804
LeReLU,0.317584969,0,256,0.01,0.01,1738,82.5,0.336947709,0.288116097,0.315873593,0.329402477
LeReLU,0.317810457,0.1,512,0.001,0.9,2912.625,75,0.415561467,0.336615413,0.277621418,0.24144353
LeReLU,0.318473767,0.1,512,0.01,0,2463.203125,65,0.378504723,0.395328164,0.267822415,0.232239768
Relu,0.319358587,0.1,128,0.01,0.9,923.703125,68.75,0.345617741,0.345155597,0.327321142,0.259339869
Relu,0.319990955,0,64,0.1,0,582.78125,65,0.340154022,0.345599264,0.29946354,0.294746995
Relu,0.321605407,0.2,256,0.01,0.9,1487.265625,70,0.370872021,0.309688151,0.319721371,0.286140084
Relu,0.323069938,0,256,0.01,0.99,1182.1875,57.5,0.418740541,0.333449662,0.300139606,0.239949942
LeReLU,0.323435254,0.1,256,0.01,0.99,1404.53125,61.25,0.372618109,0.378453255,0.264181614,0.27848804
LeReLU,0.323535994,0.1,256,0.001,0.99,1609.109375,68.75,0.419181794,0.291518897,0.298952997,0.284490287
Relu,0.326797508,0.2,256,0.001,0.99,1485.53125,70,0.38807869,0.319977909,0.345282048,0.253851384
LeReLU,0.327209421,0,256,0.001,0.9,1262.25,58.75,0.412683517,0.345577687,0.281849921,0.268726557
Relu,0.328293029,0.2,256,0.01,0.99,1458.96875,68.75,0.384339422,0.382318974,0.223082498,0.323431224
