Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
0,0.406130758,83.5825063,0.34554857,88.88889313
1,0.284035652,88.86763172,0.249737844,91.1111145
2,0.248151566,90.3615004,0.243095651,91.1111145
3,0.226693456,91.18502144,0.214338645,93.33333588
4,0.21203738,91.80171532,0.216706812,91.1111145
5,0.202292511,92.19566708,0.185741767,95.55555725
6,0.194176521,92.51601819,0.099441573,97.77777863
7,0.187163353,92.79719383,0.156328991,93.33333588
8,0.181608519,93.0022894,0.213572264,91.1111145
9,0.176637731,93.22754673,0.076260418,97.77777863
10,0.172342693,93.3707414,0.238439575,95.55555725
11,0.168541303,93.5377843,0.184410155,91.1111145
12,0.165358358,93.65802392,0.144021645,93.33333588
13,0.162292682,93.79617973,0.110719986,95.55555725
14,0.159890147,93.89123348,0.201725394,88.88889313
15,0.15745036,93.96269389,0.110073648,93.33333588
16,0.155343994,94.06225775,0.357165217,84.44444275
17,0.153041704,94.15338067,0.2389016,91.1111145
18,0.151236054,94.21589036,0.190980166,93.33333588
19,0.148986259,94.30720288,0.060369991,100
20,0.148209809,94.32925421,0.301430672,82.22222137
21,0.146437304,94.40462648,0.201680481,93.33333588
22,0.144360665,94.47298816,0.264987648,88.88889313
23,0.143390745,94.53414124,0.06702172,100
24,0.141829136,94.60529198,0.07267978,97.77777863
25,0.140267939,94.63308156,0.139969528,93.33333588
26,0.139829229,94.65859606,0.327688187,88.88889313
27,0.138130797,94.71398141,0.230089992,95.55555725
28,0.137068356,94.75582587,0.167494848,97.77777863
29,0.136571823,94.79369317,0.346075505,84.44444275
30,0.135438014,94.84803577,0.221044838,91.1111145
31,0.134400348,94.87867972,0.107039176,97.77777863
32,0.133535964,94.92086333,0.140053838,97.77777863
33,0.132327779,94.972202,0.123088032,95.55555725
34,0.131998175,94.97660258,0.054255094,97.77777863
35,0.131213383,95.01140695,0.198168263,93.33333588
36,0.129787948,95.08079663,0.176179975,93.33333588
37,0.129570917,95.05178947,0.129466832,93.33333588
38,0.128611941,95.10319344,0.07947994,100
39,0.127884639,95.12757041,0.07006713,95.55555725
40,0.12704768,95.17132551,0.224706501,93.33333588
41,0.126180432,95.20556112,0.238310426,88.88889313
42,0.125815911,95.20244343,0.066759855,100
43,0.125338246,95.24160836,0.119141772,95.55555725
44,0.124847169,95.26976236,0.101505056,95.55555725
45,0.124498601,95.26536179,0.185400665,93.33333588
46,0.123716204,95.293421,0.169673756,93.33333588
47,0.123527607,95.29783632,0.111758702,91.1111145
48,0.122305039,95.33133885,0.134624496,93.33333588
49,0.121945885,95.35185452,0.102198772,95.55555725
