av_val_loss,tomek,under_strat,over_strat,time_taken,av_epochs,cv_1_val_loss,cv_2_val_loss,cv_3_val_loss,cv_4_val_loss
0.124309756,TL,-15%,SMOTE,8896.4375, 88.88 ,0.109355092,0.182152957,0.10892196,0.096809015
0.126079997,TL,-15%,BoSMOTE,7236.890625, 75.38 ,0.183616266,0.080772951,0.119248442,0.120682329
0.13948643,No TL,-15%,SMOTE,7637.84375, 82.13 ,0.162788108,0.102507688,0.158336103,0.134313822
0.143835731,No TL,Imbal,SMOTE,4108.640625, 86.63 ,0.140898228,0.130113691,0.18099083,0.123340175
0.144682497,TL,-80%,+500% S,3300.8125, 94.50 ,0.076449499,0.109513715,0.235394344,0.15737243
0.157577096,TL,-60%,SMOTE,4012.296875, 94.50 ,0.133852661,0.204773232,0.116076283,0.175606206
0.161530552,TL,Imbal,SMOTE,4292.234375, 100.00 ,0.251552284,0.168233261,0.15031065,0.076026015
0.165126825,TL,Imbal,BoSMOTE,4008.265625, 92.25 ,0.260163397,0.188744709,0.088149019,0.123450175
0.165935947,TL,-80%,+300% S,2517.46875, 97.88 ,0.237322092,0.153238162,0.105843864,0.167339668
0.166524939,TL,-40%,BoSMOTE,4431.265625, 69.75 ,0.198247954,0.181117415,0.129113659,0.157620728
0.168306902,No TL,-40%,SMOTE,5035.46875, 74.25 ,0.156184778,0.207780793,0.15823099,0.151031047
0.171161123,TL,-60%,+500% S,3419.28125, 85.50 ,0.170397073,0.200256497,0.113561571,0.20042935
0.171714863,No TL,-15%,BoSMOTE,5580.09375, 59.63 ,0.168073922,0.210611358,0.20928061,0.09889356
0.174193757,No TL,-25%,BoSMOTE,6833.734375, 82.13 ,0.181626245,0.171755955,0.119770564,0.223622262
0.178013453,TL,-40%,+500% S,4361.59375, 94.50 ,0.265462518,0.082927085,0.189329475,0.174334735
0.180439845,TL,-80%,+500% BS,3224.078125, 92.25 ,0.104056001,0.108939052,0.250533998,0.258230329
0.181117358,TL,-40%,SMOTE,3930.078125, 60.75 ,0.174536079,0.24456498,0.233774185,0.071594186
0.181260481,TL,-25%,BoSMOTE,6164.203125, 78.75 ,0.21595715,0.135565296,0.220281079,0.153238401
0.18385262,No TL,-60%,BoSMOTE,3909.875, 86.63 ,0.178074583,0.115871161,0.259891778,0.181572959
0.186091077,No TL,-25%,SMOTE,5934.859375, 72.00 ,0.155470893,0.194283754,0.151570722,0.243038937
0.187223431,No TL,-60%,SMOTE,3444.890625, 75.38 ,0.24535273,0.079496711,0.197813764,0.226230517
0.191415057,TL,-80%,Imbal S,2177.140625, 81.00 ,0.235899642,0.192587972,0.160847038,0.176325575
0.196310744,TL,Imbal,+500% S,3065.421875, 73.13 ,0.199561089,0.212469459,0.17019704,0.203015387
0.19712675,No TL,-40%,BoSMOTE,5149.59375, 76.50 ,0.163530365,0.218491316,0.257746696,0.148738623
0.197391793,TL,-60%,BoSMOTE,3663.015625, 85.50 ,0.257262677,0.182617456,0.200193122,0.149493918
0.205646127,No TL,-40%,+500% BS,4463.578125, 96.75 ,0.228967056,0.168742329,0.202295914,0.222579211
0.205806684,No TL,-80%,Imbal S,2140.34375, 79.88 ,0.308875144,0.20272924,0.148709312,0.162913039
0.207083754,No TL,-25%,+500% BS,4910.921875, 100.00 ,0.195261732,0.259183913,0.189574435,0.184314936
0.209394205,No TL,-80%,+500% BS,2914.625, 83.25 ,0.204701781,0.205743566,0.220805809,0.206325665
0.210842513,No TL,Imbal,BoSMOTE,4157.96875, 87.75 ,0.184275553,0.158392802,0.265339613,0.235362083
0.211563863,TL,-25%,SMOTE,4279.796875, 54.00 ,0.217478842,0.146847382,0.231544033,0.250385195
0.211672954,TL,-60%,+500% BS,3696.75, 92.25 ,0.225151762,0.182808384,0.21997422,0.218757451
0.212103389,No TL,-80%,+500% S,2382.9375, 67.50 ,0.190777719,0.264218777,0.167584658,0.225832403
0.215402752,No TL,-60%,Imbal BS,3054.65625, 94.50 ,0.230377913,0.197084025,0.193097681,0.241051391
0.215614364,TL,-25%,+300% S,3513.765625, 86.63 ,0.206196949,0.287441343,0.191128701,0.177690461
0.216946173,TL,-80%,SMOTE,2153.640625, 96.75 ,0.194086403,0.34376055,0.190675363,0.139262378
0.217710175,TL,-60%,Imbal S,2495.921875, 78.75 ,0.186031088,0.246950075,0.254303843,0.183555692
0.218649294,No TL,-80%,+300% S,2056.125, 79.88 ,0.265611947,0.21485275,0.194410086,0.199722394
0.221178407,TL,-25%,+500% S,4319.359375, 86.63 ,0.135144994,0.327672929,0.307344198,0.114551507
0.22607065,No TL,-15%,+500% S,3766.296875, 72.00 ,0.186990291,0.229324207,0.303581059,0.184387043
0.229696188,No TL,-60%,+500% BS,2809.09375, 68.63 ,0.246630326,0.227438942,0.141160086,0.303555399
0.231761217,No TL,-60%,Imbal S,3105.53125, 94.50 ,0.27277419,0.200546473,0.179506123,0.274218082
0.232616954,No TL,-40%,+500% S,3686.28125, 79.88 ,0.195322752,0.148045599,0.298275113,0.28882435
0.23281401,TL,Imbal,+500% BS,3472.5625, 83.25 ,0.275093198,0.220460787,0.189851031,0.245851025
0.233212663,TL,Imbal,Imbal S,2875.921875, 85.50 ,0.278885156,0.329955518,0.200551212,0.123458765
0.233909426,TL,-60%,+300% S,2518.8125, 82.13 ,0.25661549,0.274474263,0.304304004,0.100243948
0.233937908,TL,-80%,Imbal BS,1747.984375, 65.25 ,0.189787447,0.248760536,0.259850204,0.237353444
0.2368237,No TL,-40%,Imbal BS,3283.578125, 86.63 ,0.268748254,0.173211172,0.264628708,0.240706667
0.238006804,No TL,Imbal,+500% BS,3571.984375, 82.13 ,0.256376088,0.203187481,0.216762275,0.275701374
0.238857158,No TL,Imbal,Imbal BS,3308.375, 95.63 ,0.246751726,0.291108847,0.184322149,0.233245909
0.239464018,TL,Imbal,+300% S,2669.59375, 82.13 ,0.314601719,0.183049053,0.204933599,0.255271703
0.240451861,No TL,Imbal,+500% S,2683.171875, 63.00 ,0.249631733,0.174441501,0.262931228,0.274802983
0.240494441,TL,-40%,+500% BS,3898.4375, 85.50 ,0.2559053,0.169016331,0.192068204,0.344987929
