mean_test_score,mean_fit_time,C,Gamma,tomek,under_strat,over_strat
0.926539899,304.765204,142.452992,1.005503663,TL,-15%,SMOTE
0.920480869,388.2567927,268.3015869,0.782780074,No TL,-15%,SMOTE
0.915996098,139.8823933,92.08581058,1.079927997,TL,-40%,SMOTE
0.914450644,190.2819675,112.7367272,0.754320872,TL,-25%,SMOTE
0.913353848,128.6820769,88.80195731,1.00301391,TL,-40%,SMOTE
0.913298198,161.4363641,73.78140706,0.849984592,TL,-15%,SMOTE
0.912655847,258.2788176,70.62696586,0.849977786,TL,-15%,SMOTE
0.910964315,136.2282429,64.89203877,1.056299119,No TL,-25%,SMOTE
0.910460048,62.13498267,148.6526725,1.089462467,TL,Imbal,SMOTE
0.909125409,46.02563397,130.4995446,0.99531736,TL,-60%,SMOTE
0.907434083,166.7636422,47.03194987,0.903455265,TL,-25%,SMOTE
0.903336552,66.28171738,148.815974,0.907810098,No TL,Imbal,SMOTE
0.903256266,124.7535493,49.4889791,0.940614323,TL,-40%,SMOTE
0.903171528,205.5735009,95.51175346,0.574343552,TL,-25%,SMOTE
0.902400282,113.9504724,40.43564498,0.986869663,No TL,-25%,SMOTE
0.901592719,154.1089055,125.2472638,0.662483116,No TL,-40%,SMOTE
0.900980114,59.01643181,116.6005671,0.885532609,No TL,-60%,SMOTE
0.900154428,62.34868884,147.6173832,0.898862298,TL,-60%,+500% S
0.899660464,213.6310952,52.08839736,0.811778953,No TL,-25%,SMOTE
0.899108266,44.55854392,78.50087661,0.801640694,TL,-80%,+500% S
0.898841448,233.6174578,36.7397305,0.756214269,TL,-15%,SMOTE
0.898332861,28.35834535,72.55607047,1.003016573,No TL,-60%,SMOTE
0.897747612,139.0820858,43.37746935,0.937083348,No TL,-40%,SMOTE
0.897727099,62.90428432,102.9216824,0.857545218,No TL,Imbal,SMOTE
0.897374481,202.0202083,26.31152678,1.05143305,No TL,-25%,SMOTE
0.896350345,134.6733019,42.09259898,0.913604555,No TL,-40%,SMOTE
