Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
0,0.452147774,81.68477166,0.331067413,87.86126709
1,0.300261035,88.21403907,0.277084976,89.01734161
2,0.252977451,90.15651579,0.151894137,94.2196579
3,0.224997627,91.27779347,0.207980931,93.06358337
4,0.206589056,92.03250519,0.218267292,93.64162445
5,0.19193494,92.64747555,0.275274515,88.43930054
6,0.180428607,93.07305,0.18507807,91.32948303
7,0.171099574,93.44602937,0.136466235,94.2196579
8,0.163254115,93.780284,0.237411901,91.90751648
9,0.156393168,94.04041254,0.218157306,92.48554993
10,0.150979995,94.24500443,0.156470597,93.64162445
11,0.145813443,94.44371699,0.124432154,95.37572479
12,0.141189767,94.61166899,0.189628839,91.32948303
13,0.137401696,94.78194029,0.143214822,94.79769135
14,0.133394645,94.93897121,0.160950974,94.2196579
15,0.130780863,95.03876352,0.138147309,93.64162445
16,0.126631517,95.17693602,0.152375311,93.06358337
17,0.124056913,95.2765158,0.099212639,95.95375824
18,0.121110714,95.41527224,0.13509661,93.06358337
19,0.118777691,95.49695277,0.151073843,94.2196579
20,0.116337995,95.59133193,0.126247197,95.37572479
21,0.114580717,95.64676997,0.145426705,95.37572479
22,0.112153015,95.74845761,0.139581427,94.79769135
23,0.110887902,95.80124221,0.129952669,94.79769135
24,0.108887919,95.89258886,0.094677873,95.95375824
25,0.106832664,95.96288981,0.069226965,98.26589966
26,0.105339208,96.0139878,0.157552481,95.37572479
27,0.103843404,96.06603728,0.157614291,91.90751648
28,0.102175974,96.13774438,0.117346771,96.53179169
29,0.100983141,96.1967041,0.177720621,94.2196579
30,0.099884169,96.22201043,0.129252538,93.64162445
31,0.099112531,96.24892011,0.199376717,94.2196579
32,0.097751253,96.29098466,0.076137237,95.95375824
33,0.095942314,96.37361668,0.078476913,96.53179169
34,0.094864748,96.43086295,0.111740038,95.37572479
35,0.093988625,96.46307568,0.119339332,96.53179169
36,0.093001356,96.48715005,0.109078303,95.95375824
37,0.092682686,96.49331751,0.170190811,94.79769135
38,0.091560313,96.55072646,0.068295561,97.68785858
39,0.09057179,96.58807956,0.107309431,95.37572479
40,0.090021167,96.61555783,0.097787187,95.95375824
41,0.088933105,96.65697053,0.080916204,95.95375824
42,0.088165967,96.66643178,0.056830559,98.26589966
43,0.08715592,96.71648351,0.136401653,95.95375824
44,0.085790242,96.76017825,0.119866475,94.79769135
45,0.085544015,96.78604551,0.128972754,95.37572479
46,0.085394302,96.77893806,0.141666874,95.37572479
47,0.084908075,96.79032148,0.154644355,93.64162445
48,0.083928961,96.8605315,0.110206552,95.37572479
49,0.083121349,96.87484498,0.112474263,94.79769135
50,0.082428575,96.89985934,0.101391181,95.37572479
51,0.081992606,96.92316408,0.07627786,96.53179169
52,0.081259495,96.93028686,0.098120123,94.2196579
53,0.08121009,96.94847808,0.119579069,94.79769135
54,0.080382607,96.99186935,0.08918459,96.53179169
55,0.079484731,97.02370685,0.090785079,97.10982513
56,0.079300581,97.01433654,0.117327824,95.37572479
57,0.078506887,97.05196626,0.115084156,94.2196579
58,0.077757407,97.08303797,0.102393158,95.95375824
59,0.077848217,97.07014597,0.087725833,96.53179169
60,0.077223927,97.09365175,0.101263545,95.95375824
61,0.076532447,97.13109578,0.129792213,94.2196579
62,0.075922813,97.14405953,0.081723608,97.10982513
63,0.075621112,97.160746,0.105252206,95.95375824
64,0.07532591,97.16433177,0.068424083,98.26589966
65,0.074941464,97.18190947,0.174238607,91.32948303
66,0.07388642,97.22878024,0.109796062,97.10982513
67,0.073616272,97.24158898,0.084735431,94.79769135
68,0.073237805,97.25114116,0.109142028,97.68785858
69,0.073661916,97.22356428,0.054827537,97.68785858
70,0.072910083,97.27769094,0.12021102,95.37572479
71,0.072222046,97.27797141,0.101122551,95.95375824
72,0.07240381,97.27019677,0.076617889,96.53179169
73,0.071742484,97.30582491,0.05965279,97.10982513
74,0.071398584,97.315783,0.078672096,95.95375824
75,0.071120559,97.34013016,0.058572058,97.10982513
76,0.071120836,97.33453897,0.065552235,97.10982513
77,0.070366569,97.35909101,0.105403207,95.95375824
78,0.07010668,97.36826796,0.077432737,98.26589966
79,0.069404776,97.38930599,0.054215971,98.26589966
80,0.069471416,97.39775549,0.14047493,95.95375824
81,0.069208656,97.41062832,0.05369956,98.26589966
82,0.068699356,97.41850155,0.071586363,97.10982513
83,0.068421805,97.43367177,0.08726193,95.95375824
84,0.067866483,97.45261727,0.100100122,97.10982513
85,0.067803743,97.45489932,0.140462101,95.95375824
86,0.067290542,97.4810317,0.052101955,99.42196655
87,0.067496118,97.46901944,0.136065617,95.95375824
88,0.067070984,97.49117932,0.079494141,98.26589966
89,0.066694851,97.49403764,0.081512429,95.95375824
90,0.066502595,97.51310092,0.123844676,93.64162445
91,0.06607552,97.52379413,0.094739817,95.95375824
92,0.065826784,97.52889615,0.04902843,98.26589966
93,0.065850634,97.52757709,0.074620113,97.10982513
94,0.065836743,97.53621229,0.096948743,95.37572479
95,0.065441067,97.53458593,0.081220597,97.68785858
96,0.065095054,97.55149261,0.201560661,91.90751648
97,0.065639347,97.53629555,0.07693468,97.10982513
98,0.064562935,97.58443663,0.076953068,97.10982513
99,0.063852923,97.59411425,0.11031124,95.37572479
